question,meta,answer
Can an organisation use the NRIC number as part of its system's user ID?,"Organisations, NRIC Numbers
","Organisations should not be using the full NRIC number as a user ID Organisations are to consider alternatives, and may refer to the Technical Guide to Advisory Guidelines on the PDPA for NRIC and Other National Identification Numbers."
"What if the individual chooses to use his NRIC number as a login/account ID or as a primary identifier, even if the organisation does not require it?","Organisations, NRIC Numbers
","Individuals are not prohibited from choosing to use their NRIC numbers as their preferred identifiers, for example, as their membership or login IDs. Individuals should make their own assessment of the risks associated while using their NRIC numbers for purposes that do not require it. Organisations are not expected to implement a form verification code toreject the NRIC numbers in online forms that allow individuals to type in free text."
What if an individual consents to the collection of his NRIC number?,"Organisations, NRIC Numbers
","In situations where the collection, use or disclosure of NRIC numbers is not required under the law or necessary to accurately establish or verify the identities of individuals to a high degree of fidelity, organisations should not collect an individual's NRIC number (or copy of NRIC). Consent obtained from the individual does not override the requirement for organisations to ensure the personal data is collected for purposes that are considered appropriate in the circumstance."
What should organisations do with the NRIC or other national identification numbers (or copies of ID) currently in their possession or control?,"Organisations, NRIC Numbers
",Organisations should review their existing business practices to ensure that their practices are aligned with the PDPC'sAdvisory Guidelines on NRIC numbers. This would include assessing whether the identification numbers (or copies of ID) in their possession or under their control are required under any law or necessary to accurately establish or verify the identity of the individual to a high degree of fidelity. Organisations should not keep the personal data after it is no longer necessary for the purposes for which the personal data was collected or for any legal or business purpose.Organisations that collect partial NRIC numbers containing more than the last three numerical digits and checksum of an individual's NRIC number (e.g. SXX34567A) should review their practices and assess whether they should collect just the last three numerical digits and checksum of the individual's NRIC number instead.Organisations will need to ensure that the necessary operational changes to business practices are made before 1 September 2019.
"Are organisations required to redact NRIC numbers in physical documents (e.g. hardcopy forms, certificates, letters) or unstructured data format (e.g. emails, digitalised documents in PDF) that had been previously collected?","Organisations, NRIC Numbers
","Organisations are not required to redact NRIC numbers that were collected orrecorded in physical documents or as unstructured data prior to 1 September 2019. From 1 September 2019, organisations should not request for NRIC numbers, regardless of the medium of collection, if it does not comply with the NRIC Advisory Guidelines.Given the risks and potential impact of unauthorised use or disclosure of personal data associated with NRIC numbers, organisations will be expected to provide a greater level of security to protect such information in their possession or under their control.In addition, organisations are reminded to cease the retention of all personal data through proper disposal or anonymisation when the purpose for collection is no longer served by the retention of the information and there is no business or legal need for them."
"What if organisations continue to collect, use and disclose NRIC numbers in circumstances that are not permitted after 1 September 2019?","Organisations, NRIC Numbers
","In the event that the PDPC receives a complaint on the collection, use or disclosure of NRIC numbers contrary to the positions set out in the PDPC's advisory guidelines after 1 September 2019, the PDPC will investigate the matter to establish whether there is a breach of the PDPA. In the event that the failure to adhere to the guidance provided results in a breach of the Data Protection Provisions, the penalties under the PDPA will apply."
Are there any schemes to help defray the cost of changing entire systems to use alternatives instead of NRIC numbers?,"Organisations, NRIC Numbers
","SMEs that would like to automate and align their operations with PDPC's updated Advisory Guidelines on NRIC numbers may consider adopting pre-approved solutions available at SME Portal Tech Depot, such as Customer Relationship Management (CRM), Point of Sales (PoS) and Visitor Management System (VMS) solutions, that allow the use of alternative identifiers apart from NRIC numbers.SMEs may apply for a Productivity Solutions Grant, which provides up to 70% funding support, administered by Enterprise Singapore."
"How can an organisation comply with the PDPC's NRIC Advisory Guidelines when the organisation is required to collect, use or disclose NRIC numbers for a public agency's purposes?","Organisations, NRIC Numbers
","As the issuing authority for the NRIC, the Government rightfully uses NRIC numbers to discharge its functions and services with citizens. An organisation that is required to collect, use or disclose NRIC numbers for a public agency's purposes is not required to assess whether the purposes are in accordance with the PDPC's NRIC Advisory Guidelines.Nonetheless, in such scenarios, organisations should inform the individuals that the collection, use or disclosure of their NRIC numbers is for purposes required by the public agency. Organisations are also reminded to ensure an appropriate level of security to protect the NRIC numbers collected. Organisations must also cease to retain the NRIC numbers once they have completed the tasks required by the public agency since the organisations have no need to retain the information.Organisations should note that the treatment for NRIC numbers also applies to Birth Certificate numbers, Foreign Identification Numbers (FIN), Work Permit numbers and Passport numbers."
Can commercial buildings or condominiums collect visitors' NRIC numbers for entry?,"Organisations, NRIC Numbers
","Property management and building owners should avoid collecting NRIC numbers and are encouraged to use alternative ways to address their requirements. For instance, organisations may consider checking a visitor's photo identification document and recording the visitor's full name and contact details (e.g. mobile number) or partial NRIC number where relevant."
"Are utility service providers or retailers (e.g. electricity retailers) allowed to collect, use or disclose individuals' NRIC numbers for the purpose of providing/facilitating utility services?","Organisations, NRIC Numbers
","An individual's NRIC number is likely to be necessary to accurately establish or verify an individual for the purposes of provisioning, porting or termination of essential services (e.g. electricity, water, gas). For example, if an individual closes an account with an electricity retailer, the inability to accurately identify the individual may pose a risk of significant impact or harm to the individual, given that the utility supply is essential for everyday living.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks, and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
"Can insurance companies collect, use and disclose the NRIC number (or copy of the NRIC) of their clients?","Organisations, NRIC Numbers
","For transactions related to financial and insurance matters, organisations are permitted to collect the NRIC number (or copy of the NRIC) after informing the individual on the purposes for the collection, use or disclosure of the personal data, and seeking the individual's consent.Where organisations can collect NRIC numbers of individuals, they will have to comply with the Data Protection Provisions under the PDPA, such as ensuring an appropriate level of security to prevent unauthorised access, collection, use, disclosure or similar risks; and ceasing to retain the data as soon as the purpose for which it was collected is no longer necessary for business or legal purposes."
Can massage establishments collect the NRIC number (or copy of the NRIC) of customers?,"Organisations, NRIC Numbers
","Organisations that are licensed to operate under the Massage Establishment Act, such as a spa or beauty centre, are required to collect NRIC numbers of customers. You may wish to refer to the Advisory Guidelines on the PDPA forNRIC and Other National Identification Numbers where we have provided a similar example.
Where
organisations can collect NRIC numbers of individuals, they will have to comply
with the Data Protection Provisions under the PDPA, such as ensuring an
appropriate level of security to prevent unauthorised access, collection, use,
disclosure or similar risks, and ceasing to retain the data as soon as the
purpose for which it was collected is no longer necessary for business or legal
purposes."
Can telecommunication providers collect the NRIC number (or copy of the NRIC) of customers?,"Organisations, NRIC Numbers
","Organisations that are licensed to operate under the Telecommunications Act, such as to provide fixed line or mobile services, are required to collect NRIC numbers of customers. You may wish to refer to the Advisory Guidelines on the PDPA for NRIC and Other National Identification Numbers where we have provided a similar example.Where
organisations can collect NRIC numbers of individuals, they will have to comply
with the Data Protection Provisions under the PDPA, such as ensuring an
appropriate level of security to prevent unauthorised access, collection, use,
disclosure or similar risks, and ceasing to retain the data as soon as the
purpose for which it was collected is no longer necessary for business or legal
purposes."
Are veterinary clinics or hospitals allowed to collect the NRIC number (or copy of the NRIC) of customers?,"Organisations, NRIC Numbers
","Organisations that are licensed to operate under the Animals and Birds Act are required to collect the NRIC numbers of customers.Where
organisations can collect NRIC numbers of individuals, they will have to comply
with the Data Protection Provisions under the PDPA, such as ensuring an
appropriate level of security to prevent unauthorised access, collection, use,
disclosure or similar risks, and ceasing to retain the data as soon as the
purpose for which it was collected is no longer necessary for business or legal
purposes."
Are vehicle rental companies allowed to collect the NRIC number (or copy of the NRIC) of customers?,"Organisations, NRIC Numbers
","Vehicle rental/sharing companies are required under the Road Traffic Act to collect the NRIC number of customers. In addition, we note that in case of any accidents or traffic violations, such information are required for insurance and investigation related purposes.
Where
organisations can collect NRIC numbers of individuals, they will have to comply
with the Data Protection Provisions under the PDPA, such as ensuring an
appropriate level of security to prevent unauthorised access, collection, use,
disclosure or similar risks, and ceasing to retain the data as soon as the
purpose for which it was collected is no longer necessary for business or legal
purposes."
Can moneychangers collect the NRIC number (or copy of the NRIC) of customers?,"Organisations, NRIC Numbers
","Organisations that are licensed to operate under the Money-changing and Remittance Business Act are required to collect NRIC numbers of customers for certain transactions. Before doing so, the moneychanger will have to notify the customer of the purpose.Where organisations can collect NRIC numbers of individuals, they will
have to comply with the Data Protection Provisions under the PDPA, such as
ensuring an appropriate level of security to prevent unauthorised access,
collection, use, disclosure or similar risks, and ceasing to retain the data as
soon as the purpose for which it was collected is no longer necessary for
business or legal purposes."
Are Private Education Institutions (PEIs) allowed to collect copies of their students' NRIC/passport?(new),"Organisations, NRIC Numbers
","PEIs should not collect copies of their students' NRIC/passport. They may only collect their student's NRIC/passport number in compliance with regulation 21(1) of the Private Education Regulations 2009 for record-keeping. For information on the Private Education regulations, please refer to the SSG website."
What is considered a 'specified message'?,"Organisations, Do Not Call Registry
","A 'specified message' refers to a marketing message (in the form of voice calls, texts or faxes) with one or more of the following purposes:offer to supply, advertise or promote goods or services; advertise/promote suppliers or prospective suppliers of goods or services; orsupply/advertise/promote land, interests in land or business/investment opportunities. For the purposes of the PDPA, a 'specified message' does not include any message referred to in the Eighth Schedule of the PDPA. Whether your organisation is directly sending such telemarketing messages, causing the message to be sent or authorising another organisation to do so, your organisation has to ensure compliance with the DNC provisions."
What does an organisation need to do in order to send marketing messages to Singapore telephone numbers?,"Organisations, Do Not Call Registry
","Before an organisation sends any marketing message to a Singapore telephone number, it should check that:the telephone number is not registered with the DNC Registry; the message it is sending contains clear and accurate information identifying the organisation, as well as its contact details; and  if making a phone call, the telephone number it is making the call from is not concealed.The DNC Registry contains three separate Registers of Singapore telephone numbers for voice calls, text messages (SMS/MMS/text) and faxes, which the organisation can check against. To check, the organisation shall submit a list of telephone numbers it is planning to send the messages to. The DNC Registry will then indicate, on the list, whether each number is in any of the Registers. The organisation may then send its marketing messages to the numbers that are not in the relevant Registers.The organisation may rely on the DNC Registry results for up to 30 days. If the organisation intends to send the marketing message after 30 days has lapsed, it must submit its list of numbers to the DNC Registry again."
When did the DNC provisions come into force?,"Organisations, Do Not Call Registry
",The DNC provisions came into effect on 2 January 2014.
What are the DNC Registers available?,"Organisations, Do Not Call Registry
","There are three Registers on the DNC Registry:No Voice Call Register, to opt out of receiving telemarketing callsNo Text Message Register, to opt out of receiving telemarketing text messages, eg. SMS/MMSNo Fax Message Register, to opt out of receiving telemarketing faxes"
What telephone numbers can be registered with the DNC Registry?,"Organisations, Do Not Call Registry
","The DNC Registry accepts registration of only 8-digit Singapore telephone numbers, including mobile, home and office numbers. Any Singapore telephone number that begins with 3, 6, 8 or 9 can be registered. Please note that access to the device (of the number that is being registered) is required."
Will telephone numbers registered with the DNC Registry expire?,"Organisations, Do Not Call Registry
",Registration of telephone numbers on the DNC Registry does not expire. The individual's registration with the DNC Registry will only be removed when he or she terminates the number or removes the number from the DNC Registry.
Can an organisation continue to use a list of contacts obtained prior to 2 January 2014 for telemarketing purposes after the DNC provisions come into effect on 2 January 2014?,"Organisations, Do Not Call Registry
","If an organisation intends to carry out telemarketing activities to a pre-existing contact list obtained prior to 2 January 2014, the organisation must ensure that they comply with the DNC provisions of the PDPA. That is, before sending a telemarketing message to a Singapore telephone number, the organisation must check with the DNC Registry to confirm that the number is not listed on any of the DNC Registers, unless  it has obtained clear and unambiguous consent in written or other accessible form from the user/subscriber to the sending of the telemarketing message, or if the organisation can rely on the Personal Data Protection (Exemption from Section 43) Order 2013 to send the message or any other exclusions. This applies even if organisations are using Singapore telephone numbers they collected before the PDPA came into effect, and have been sending telemarketing messages to these numbers so far.
In addition to the DNC Registry provisions, organisations carrying out telemarketing activities should also comply with the data protection provisionsof the PDPA, which include seeking consent and informing individuals of the purposes for the collection, use and disclosure of personal data unless an exception applies. While, for purposes of the data protection provisions, organisations may use existing data collected before 2 Jul 2014 for the same purposes for which it was collected, organisations should cease doing so if individuals withdraws their consent or otherwise indicates that they do not consent the use of their personal data for such uses."
Do organisations have to check the DNC Registry for all telemarketing messages they intend to send out?,"Organisations, Do Not Call Registry
","Generally, organisations are required to check the DNC Registry before sending telemarketing messages to a Singapore telephone number, unless: the subscriber or user of the number has given the organisation clear and unambiguous consent, in written or other evidential form, for the organisation to send telemarketing messages to the number; if the message falls within an exclusion in the Eighth Schedule to the PDPA (for example, if it is solely for the purpose of conducting market research, or for business-to-business marketing); or  if the organisation is able to rely on the Personal Data Protection (Exemption from Section 43) Order 2013 to send the message."
Can an organisation rely on the Exemption Order to continue sending telemarketing messages to an individual that it has an ongoing relationship with?,"Organisations, Do Not Call Registry
","An organisation that relies on the Personal Data Protection (Exemption from Section 43) Order 2013 to send promotional messages without checking the DNC Registry has to fulfil conditions. In brief: it must have an ongoing relationship with the subscriber or user;it must send a text or fax message (but not voice call);the purpose of the message must be related to the subject of their ongoing relationship with the subscriber or user; and it must provide an opt-out facility within the body of the message. The opt-out facility may be provided via a Singapore telephone number or short code (in the case of a text message), or a fax number (in the case of a fax message). When the subscriber or user opts out, the organisation can no longer rely on the exemption and must stop sending such messages to that individual's Singapore telephone number30 days after the individual has opted out.An organisation will not be able to rely on this exemption if the subscriber or user has withdrawn consent (and the prescribed period has lapsed) or indicated that he/she does not consent to the sending of any telemarketing message."
What is meant by an 'ongoing relationship'?,"Organisations, Do Not Call Registry
","Ongoing relationship' means a relationship, which is on an ongoing basis, between a sender and subscriber/user of a Singapore telephone number, arising from the carrying on or conduct of a business or activity (commercial or otherwise) by the sender. An ongoing relationship may include, for example, a subscription, membership, account, loan or comparable relationships involving the ongoing purchase or use of goods and services supplied by the sender to the individual. A series of one-off transactions or a past relationship, without more, is not sufficient to constitute an ongoing relationship."
Will the DNC Registry cover overseas telemarketers?,"Organisations, Do Not Call Registry
","The PDPA shall apply to a telemarketing message addressed to a Singapore telephone number where:the sender is present in Singapore when the message is sent; or the recipient of the message is present in Singapore when the message is accessed. If a Singapore organisation outsources the telemarketing function overseas, the Singapore organisation that authorised the sending of the message will need to comply with the DNC provisions and will be responsible for the sending of the message.If both the telemarketing organisation and the organisation which outsourced its telemarketing function are overseas organisations, and the recipient is overseas, the DNC provisions will not apply. For example, an overseas telecom service operator sending messages promoting their cheaper IDD service to Singapore subscribers roaming on the overseas telecom network will not need to check the DNC Registry."
Are business-to-business marketing calls or messages covered under the DNC Registry?,"Organisations, Do Not Call Registry
","A business-to-business (B2B) marketing call, SMS/MMS or fax message (B2B marketing message) refers to a marketing message which is sent to an organisation, for any purpose of the receiving organisation.A marketing message sent to an individual acting in a personal or domestic capacitywould not be considered a B2B marketing message, even if the message purports to be for a purpose of an organisation. B2B marketing messages are not within the scope of the DNC Registry. The PDPC recognises that B2B marketing calls or messages may be essential to the day-to-day operations between businesses and note that most consumers will not be affected by B2B marketing messages that are sent to organisations.Organisations may also register their business telephone numbers with the DNC Registry. To be clear, B2B marketing messages may stillbe sent to these registered business numbers if they are for a purpose of the organisation. An individual whose telephone or fax number is used as both a personaland business number may therefore still receive B2B marketing messages that are sent to his telephone or fax number as a business phone number."
Are telemarketing messages sent through applications such as WhatsApp covered under the DNC provisions?,"Organisations, Do Not Call Registry
","The DNC provisions apply to the sending of telemarketing messages addressed to Singapore telephone numbers registered with the DNC Registry. In situations where telemarketing messages are sent through smartphone applications that use a telephone number as an identifier, such as WhatsApp, such messages will be covered by the DNC provisions. Telemarketing messages sent via other technologies such as those using a mobile data connection will be treated similarly, as long as the message is addressed to a Singapore telephone number. However, some data-based phone applications do not use phone numbers as identifiers, and may use other identifiers such as email addresses instead. Telemarketing messages that are sent through such applications will not be covered by the DNC provisions."
Are emails and mail delivered by post covered under the DNC Registry?,"Organisations, Do Not Call Registry
","The DNC Registry covers marketing messages sent to Singapore telephone numbers. Emails and mail delivered by post are not included within the scope of the DNC Registry.Emails are not included within the scope of the DNC Registry as unsolicited emails can be blocked through email filters. They also cause less of a nuisance to delete when received, as compared to telephone calls, SMS and fax messages, which are more difficult for the individual to filter. Furthermore, the Spam Control Act (SCA) helps to complete the framework by setting out requirements in relation to the sending of unsolicited commercial electronic messages in bulk. Please refer to our FAQ on the SCA to find out more about the differences between the PDPA and the SCA. As for junk mail, there are existing ways for individuals to reduce the volume of such mail, such as through the use of letterboxes with anti-junk mail features. Junk mail may also be less of a nuisance than telephone calls, SMS or MMS messages, or faxes, which are more likely to inconvenience an individual or interrupt his activities."
"If an organisation has obtained consent from an individual who is registered with the DNC Registry, can the organisation send telemarketing messages to him or her?","Organisations, Do Not Call Registry
","An organisation that has been given clear and unambiguous consent by the individual, in written or other accessible form, to send him or her marketing messages, may do so regardless of whether the individual has registered with the DNC Registry.The individual, however, shall be allowed to withdraw the consent given but this shall not affect the legal consequences arising from the withdrawal."
What are the payment modes available for an organisation to use the DNC Registry?,"Organisations, Do Not Call Registry
","Organisations can pay online using credit card (MasterCard, Visa and AMEX) or internet direct debit for consumers with DBS/POSB, OCBC, UOB or Citibank Internet Banking accounts. For purchase of pre-paid credits, an offline payment option via telegraphic or bank transfer is available for amounts of $5,000 and above."
What information will appear on my credit card statement?,"Organisations, Do Not Call Registry
",The transaction will appear on your credit card statement as PDPC DNC.
What is the PDPC's bank account information?,"Organisations, Do Not Call Registry
","For Bank Transfer / Telegraphic Transfer:Bank: DBS Bank LtdBank Code: 7171Branch Code: 003Account name: Info-communications Media Development AuthorityAccount number: 003-920724-7SWIFT Code: DBSSSGSGOnce the transfer has been made, please email info@pdpc.gov.sg with your organisation's name and the DNC transaction reference number in the 'Subject' field. Please also include the following details in the email:Date and time of the transferAmount transferredContact details of the person who made the transferPlease allow up to7 working days after the receipt of payment for processing your request."
How can an organisation create an account with or check the DNC Registry?,"Organisations, Do Not Call Registry
","Organisations can create an account, purchase credits, and check numbers with the DNC Registry by logging on to http://www.dnc.gov.sg."
How much will it cost organisations to create an account with and check the DNC Registry?,"Organisations, Do Not Call Registry
","There will be a one-time fee of $30 to create each account with the DNC Registry ($60 for organisations based overseas). To cater for organisations which may only need to check a few telephone numbers a year, the DNC Registry will enable organisations to check 1,000 telephone numbers for free each year (from 1 Jun 2015). One credit is required for each number checked. Fees for the checking of additional numbers can be found here."
What are the types of accounts available for checking the DNC Registry?,"Organisations, Do Not Call Registry
","There are three types of accounts, for:Organisations registered in Singapore - UEN (Unique Entity Number) and SingPass/CorpPass required; FromQ3 2018,organisations may use only CorpPass to login to their accountsOverseas organisations not registered or present in Singapore - authentication documents required eg. Utility bill  Any individual who conducts telemarketing activities without UEN (eg. freelancers, agents) may use SingPassEach organisation or individual can only create one main account."
How many sub accounts can be created?,"Organisations, Do Not Call Registry
",Only organisations may create sub-accounts. Main account holders can create as many sub accounts as required. The one-time fee for each sub-account is $30.
When will the account be activated?,"Organisations, Do Not Call Registry
","After the account has been created and payment made, an email notification will be sent to the account holder's email address with instructions to activate the account."
Can the sub-account be issued to a different business entity such as a subsidiary?,"Organisations, Do Not Call Registry
","The main account holder will be held responsible for all the sub-accounts, hence organisations should only issue sub-accounts to business entities they can account for."
Can organisations terminate a DNC Registry account and request for a refund of the account creation fee?,"Organisations, Do Not Call Registry
","Requests for a refund of account creation fees are subject to review and approval by PDPC on a case-by-case basis. You may request for refund for the account creation fee by sending an email to info@pdpc.gov.sg after you have submitted an account termination request through your DNC Registry account. The PDPC will follow general guidelines when considering a request for a refund, such as: the termination request should be submitted within 14 calendar days from date of account creation; the free credits are not utilised; andthere is a valid reason for the refund request."
When must an organisation check the DNC Registry?,"Organisations, Do Not Call Registry
","Organisations need to check the DNC Registry before sending marketing messages to a Singapore telephone number. Organisations may rely on the information given by the DNC Registry on whether any number is registered on any of the registers for up to 30 days. If the organisation intends to send the marketing message after the 30 days has lapsed, it must check the DNC Registry again."
How can an organisation check the DNC Registry?,"Organisations, Do Not Call Registry
",There are two methods an organisation can check its list of numbers against the Registry:Small Number Lookup - for up to 10 numbers at a time. Results will be displayed immediately.Bulk Filtering - for upload of as many numbers as required in a CSV file. Results will be returned within 24 hours. An email notification will be sent once the results are ready.
Can an organisation directly upload its list of telephone numbers to the DNC Registry?,"Organisations, Do Not Call Registry
",Organisations will be able to directly upload a list of telephone numbers to the DNC Registry via the Bulk Filtering method. The list of numbers has to be in CSV format.
"If an organisation checks on behalf of another organisation, does the latter also need an account with the DNC Registry?","Organisations, Do Not Call Registry
",The latter organisation does not need to create an account. Only the organisation doing the checking will need an account.
What is the validity period of the telephone numbers that have been submitted to the DNC Registry for checking?,"Organisations, Do Not Call Registry
","From 2 July 2014, results received from the DNC Registry are valid for 30 days."
Will organisations be required to develop IT systems in order to check the DNC Registry?,"Organisations, Do Not Call Registry
",No development of an IT system is necessary. Organisations will simply have to create an account with the DNC Registry and submit their list of Singapore telephone numbers online for checking.
Can an organisation link its own system with the DNC Registry to facilitate checks?,"Organisations, Do Not Call Registry
",The current design of the DNC Registry does not allow direct Application Programming Interface (API) connection to an external system for security reasons.
Does the PDPC endorse any third-party aggregator that offers to check the DNC Registry on behalf of others?,"Organisations, Do Not Call Registry
",The PDPC neither endorses nor recommends any third-party service provider to help organisations check the DNC Registry on their behalf. Organisations that engage such services should ensure that they have a contractual agreement with the third-party service provider that clearly indicates the roles and responsibilities with regard to checking the DNC Registry.
Can organisations request for a refund of the duplicate numbers or duplicate files that were submitted for checking?,"Organisations, Do Not Call Registry
","The DNC Registry will automatically filter out invalid format telephone numbers and will not check them.  No credits will be charged for these invalid numbers. However, the onus is on the organisation to ensure that their list of telephone numbers submitted does not contain duplicate telephone numbers as they are considered valid telephone numbers. Once the DNC Registry has processed your submission, the credits will be deducted for every valid telephone number checked against the DNC Registry. You may write in to  info@pdpc.gov.sg to request for a refund for checks made on duplicate file or duplicate telephone numbers that you have submitted. However, this is subject to the PDPC's approval."
What is the difference between purchasing credits through the pre-paid and pay-per-use methods?,"Organisations, Do Not Call Registry
","Pre-paid refers to purchasing credits in advance, or when there are insufficient remaining credits at the point of checking the Registry. Purchased credits are valid for up to 3 years from the date of purchase.Pay-per-use refers to paying a fee each time to submit telephone numbers for checking. The minimum purchase value is $10. Prices will be rounded to the nearest cent."
How soon can an organisation use the credits purchased?,"Organisations, Do Not Call Registry
","Credits purchased through online payment options will be immediate. For offline payments, the credits will be credited only after the PDPC has received the payment. This can take up to 7 working days."
Are the credits separately tagged to each main or sub-account?,"Organisations, Do Not Call Registry
","The credits for each account are independent of one another. This means that each main or sub-account may purchase and use its own credits. The main account can also transfer credits to its sub-account(s) and vice-versa. However, sub-accounts cannot transfer to other sub-accounts."
Can the credits be transferred between sub-accounts?,"Organisations, Do Not Call Registry
","The main account may transfer its credits to the sub-accounts and vice-versa. However, the sub-account cannot transfer to other sub-accounts."
Will unused credits be refunded?,"Organisations, Do Not Call Registry
","Organisations can get a refund of their pre-paid credits when their main account is terminated or when their credits have expired three years from the date of purchase. When sub-accounts are terminated by the main account holder, the pre-paid credit balance will be returned to the main account holder.Organisations are required to provide their bank account details in the DNC Registry system so that refunds can be processed. The refund will be processed within four to six weeks after we have received the bank account details.Please note thatthere is no extension of any unused credits beyond the expiry date."
"Can organisations opt for offline payment for transactions less than $5,000?","Organisations, Do Not Call Registry
","The offline payment methods offered are via telegraphic or bank transfer and a minimum $5,000 transaction is required."
Can organisations get a refund of the pre-paid credits that they have purchased but not utilised?,"Organisations, Do Not Call Registry
","Generally, unused pre-paid credits will be refunded to the main account holder when the main account is terminated or when the pre-paid credits has expired after 3 years. However, you may write in to the PDPC at info@pdpc.gov.sg to request for a refund on unused pre-paid credits at any point subject to the approval of the PDPC."
Must all organisations appoint a data protection officer?,"Organisations, Data Protection Officers
","All organisations, including sole proprietorships, are required to designate at least one person, a Data Protection Officer (DPO), to be responsible for ensuring that the organisation complies with the PDPA. Organisations are also required to ensure that at least one DPO's business contact information is made available to the public. The business contact information may be a general telephone or email address of the organisation.The DPO may be a person whose scope of work solely relates to data protection or a person in the organisation who takes on this role as one of his multiple responsibilities. To be clear, compliance by the organisation with the PDPA remains the responsibility of the organisation notwithstanding the appointment of the data protection officer."
Must the data protection officer be an employee based in Singapore?,"Organisations, Data Protection Officers
","The PDPA does not prescribe where the Data Protection Officer (DPO) should be based. The DPO need not be an employee of the organisation, and organisations may outsource this function to a third party. However, the DPO whose business contact information is provided has to be reachable whenever a member of the public in Singapore attempts to contact him, to be compliant with the PDPA requirements."
Is it mandatory for a holding company (with no employee) to appoint a DPO?,"Organisations, Data Protection Officers
",An organisation is responsible for all personal data in its possession or under its control. This may relate to not just employees' data but personal data of other persons such as clients or shareholders. The PDPA requires an organisation to designate one or more individuals to be responsible for ensuring compliance with the PDPA.
Do I need to appoint a DPO if my company is going to cease its operations in a few months' time?,"Organisations, Data Protection Officers
","Your company will have to ensure compliance with the PDPA as long as it is collecting, using and disclosing personal data, or has persona data in its possession or control. This includes appointing a DPO."
Does the DPO have to meet any minimum age criteria?,"Organisations, Data Protection Officers
","The PDPA does not stipulate a minimum age for DPOs. However, the appointed person should, for example, have the appropriate expertise and knowledge to be able to ensurethat the organisation complies with the PDPA and develop a process to receive and respond to complaints with respect to the application of the PDPA."
Where can a DPO register with the PDPC?,"Organisations, Data Protection Officers
","DPOs may register at www.pdpc.gov.sg/dpo-contact. Once the online submission is successful, an acknowledgement email will be sent tothe email address provided. If you did not receive the acknowledgement email,please check your spam folder. For further assistance, please contact us here."
Is it mandatory to submit my organisation's DPO details to the PDPC?,"Organisations, Data Protection Officers
",It is not required under the law to inform the PDPC of your DPO's details but we strongly encourage all organisations to do so. This will help DPOs keep abreast of relevant personal data protection developments in Singapore.
Is there any fee involved in the DPO registration process?,"Organisations, Data Protection Officers
",There is no fee involved in the DPO registration process.
Is there a deadline to register the DPO?,"Organisations, Data Protection Officers
","There is no deadline to register your DPO. However, we strongly encourage your organisation to register your DPO asearly as possible so that he/she can be kept abreast of relevant personal data protectiondevelopments in Singapore."
What should I do if I encounter technical difficulty when registering DPO information on the website?,"Organisations, Data Protection Officers
",You may wish to email us at info@pdpc.gov.sg and provide the following information:1. Name of DPO2. Email address3. Contact number4. Name of organisation5. Industry6. Subscribe to DPO Connect: Yes / No / Already subscribedWe will update our records accordingly.
My company is currently undergoing liquidation and does not have any customer/employee personal data in possession. Do we still need to register our DPO?,"Organisations, Data Protection Officers
",A company that is undergoing liquidation need not registerits DPO contact details with us.
My company is dormant and has no business activity. Do we still need to register our DPO?,"Organisations, Data Protection Officers
",A company that is dormant and has no business operation need not register its DPO contact details with us.
When is the due date for the appointment of a DPO?,"Organisations, Data Protection Officers
","The data protection provisions of the PDPA came into force on 2 July2014and requires an organisation to designate one or more individuals to be responsible for ensuring compliance with the PDPA. If your organisation handles personal data, you should appoint at least one individual as the DPO."
How will the PDPC conduct an investigation into a DNC offence?,"Organisations, Enforcement
","After a complaint is received, the PDPC may carry out preliminary investigations and make enquiries to the organisation to clarify the situation or obtain more information. If the PDPC has reasonable grounds to suspect that the PDPA has been infringed, the PDPC may issue a notice requiring the organisation to provide evidence of clear and unambiguous consent. In certain circumstances, the PDPC has the power to enter premises to obtain the evidence in the form of documents, equipment or information. Any person who obstructs or impedes the PDPC or an authorised officer in the exercise of their powers under the PDPA will be guilty of an offence and may be liable:in the case of an individual, to a fine of up to $10,000 or to imprisonment for a term not exceeding 12 months or to both; andin any other case, to a fine not exceeding $100,000."
What are the penalties for DNC Registry related offences?,"Organisations, Enforcement
","Any person who contravenes section 43(1), 44(1) or 45(1) of the PDPA, which relate to the sending of specified messages, shall be guilty of an offence and shall be liable on conviction by the courts to a fine of up to $10,000. However, PDPC may compound such an offence for a sum not exceeding $1,000 per offence."
Do organisations have to keep records of 'clear and unambiguous consent' by individuals and when do organisations need to show that such consent was obtained?,"Organisations, Enforcement
","The PDPC adopts a complaint-based approach for the enforcement of the DNC provisions. An individual who has registered his/her telephone number with the DNC Registry but still continues to receive telemarketing messages from an organisation can report the matter to the PDPC for investigations. The PDPC encourages individuals who are unsure as to why they have received the message from the organisation, or whether they have provided clear and unambiguous consent, to contact the organisation to confirm this. However, in the event of a dispute, or an investigation by the PDPC, the onus will be on the organisation to prove that they have obtained 'clear and unambiguous' consent from the individual to be contacted for telemarketing activities."
